"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2020","345.37","347.95","347.95","340.22","","-1.90%"
"12/16/2020","352.06","352.06","352.06","352.06","","0.00%"
"12/15/2020","352.06","352.06","352.06","352.06","","1.18%"
"12/14/2020","347.95","349.90","349.90","345.26","","-0.56%"
"12/11/2020","349.90","349.90","349.90","349.90","","1.34%"
"12/10/2020","345.26","345.26","345.26","345.26","","-0.77%"
"12/09/2020","347.95","347.95","347.95","347.95","","0.00%"
"12/08/2020","347.95","347.95","347.95","347.95","","0.00%"
"12/07/2020","347.95","347.44","347.95","344.01","","-0.15%"
"12/04/2020","348.47","340.22","348.47","340.22","","0.15%"
"12/03/2020","347.95","347.95","347.95","347.95","","0.75%"
"12/02/2020","345.37","345.37","345.37","345.37","","0.46%"
"12/01/2020","343.80","343.80","343.80","343.80","","0.00%"
"11/30/2020","343.80","343.80","343.80","343.80","","0.58%"
"11/27/2020","341.83","341.83","341.83","341.83","","-0.75%"
"11/26/2020","344.40","341.91","346.07","341.91","","1.34%"
"11/25/2020","339.85","334.02","339.85","334.02","","0.97%"
"11/24/2020","336.60","339.89","339.89","336.08","","-1.39%"
"11/23/2020","341.34","343.32","343.32","341.34","","1.62%"
"11/20/2020","335.90","335.90","335.90","335.90","","-0.83%"
"11/19/2020","338.72","334.56","338.72","334.56","","-4.35%"
"11/18/2020","354.11","354.11","354.11","354.11","","3.10%"
"11/16/2020","343.47","343.47","343.47","343.47","","1.53%"
"11/13/2020","338.31","338.31","338.31","338.31","","-1.50%"
"11/12/2020","343.47","343.47","343.47","343.47","","0.00%"
"11/11/2020","343.47","347.41","347.41","343.47","","0.00%"
"11/10/2020","343.47","343.47","343.47","343.47","","-1.53%"
"11/09/2020","348.81","348.81","348.81","348.81","","0.00%"
"11/06/2020","348.81","348.81","348.81","348.81","","1.50%"
"11/05/2020","343.66","345.63","345.63","342.08","","-2.03%"
"11/04/2020","350.78","350.78","350.78","350.78","","-1.66%"
"11/03/2020","356.70","356.70","356.70","356.70","","0.00%"
"11/02/2020","356.70","356.70","356.70","356.70","","0.00%"
"10/30/2020","356.70","356.70","356.70","356.70","","0.11%"
"10/29/2020","356.30","351.54","356.30","350.36","","2.92%"
"10/28/2020","346.20","345.01","346.20","342.65","","0.34%"
"10/27/2020","345.01","341.07","345.01","341.07","","0.00%"
"10/26/2020","345.01","351.15","351.15","345.01","","-1.64%"
"10/23/2020","350.75","354.88","354.88","350.75","","-1.16%"
"10/22/2020","354.88","351.78","354.88","351.78","","0.88%"
"10/21/2020","351.78","352.57","352.57","351.78","","-0.22%"
"10/20/2020","352.57","352.57","352.57","352.57","","-0.11%"
"10/19/2020","352.97","352.97","352.97","352.97","","1.55%"
"10/16/2020","347.57","347.57","347.57","347.57","","-0.15%"
"10/15/2020","348.09","347.57","348.09","347.57","","0.15%"
"10/14/2020","347.57","347.57","347.57","347.57","","1.03%"
"10/13/2020","344.02","347.57","347.57","344.02","","-1.02%"
"10/12/2020","347.57","347.97","347.97","347.57","","-0.11%"
"10/09/2020","347.97","351.57","351.57","347.97","","-0.91%"
"10/08/2020","351.18","350.79","351.18","350.79","","0.11%"
"10/07/2020","350.79","350.39","350.79","350.39","","-0.03%"
"10/06/2020","350.91","350.12","350.91","350.12","","0.23%"
"10/05/2020","350.12","350.91","350.91","350.12","","0.00%"
"10/02/2020","350.12","350.12","350.12","350.12","","-2.22%"
"10/01/2020","358.06","353.42","358.06","353.42","","0.75%"
"09/30/2020","355.39","354.57","355.39","354.57","","1.13%"
"09/29/2020","351.41","356.63","356.63","350.90","","-1.60%"
"09/28/2020","357.14","356.63","357.14","356.63","","0.00%"
"09/25/2020","357.14","356.63","357.14","356.63","","-3.75%"
