"Date","Price","Open","High","Low","Vol.","Change %"
"09/10/2019","4,995.01","4,949.97","4,997.71","4,946.24","97.13M","0.58%"
"09/09/2019","4,966.25","4,978.89","4,982.05","4,948.47","52.78M","-0.05%"
"09/06/2019","4,968.51","4,958.10","4,976.05","4,933.51","54.22M","-0.04%"
"09/05/2019","4,970.64","4,961.40","4,971.84","4,929.35","71.50M","0.80%"
"09/04/2019","4,931.11","4,915.17","4,951.90","4,915.17","63.71M","0.94%"
"09/03/2019","4,885.41","4,910.48","4,915.81","4,864.52","50.49M","-0.74%"
"09/02/2019","4,921.90","4,887.70","4,923.71","4,887.31","54.32M","0.70%"
"08/30/2019","4,887.63","4,826.44","4,887.63","4,826.44","61.84M","1.53%"
"08/29/2019","4,813.74","4,791.61","4,834.26","4,791.50","93.23M","0.33%"
"08/28/2019","4,798.07","4,809.72","4,821.91","4,786.97","73.44M","-0.18%"
"08/27/2019","4,806.69","4,815.90","4,826.81","4,790.64","47.44M","-0.03%"
"08/26/2019","4,808.24","4,762.91","4,815.30","4,749.71","41.20M","0.33%"
"08/23/2019","4,792.47","4,868.41","4,877.34","4,792.47","63.42M","-1.33%"
"08/22/2019","4,857.10","4,839.58","4,875.56","4,839.34","69.31M","0.08%"
"08/21/2019","4,853.19","4,836.46","4,865.38","4,836.40","45.60M","0.67%"
"08/20/2019","4,820.95","4,844.38","4,870.44","4,818.23","52.65M","-0.63%"
"08/19/2019","4,851.39","4,829.61","4,879.71","4,828.75","101.76M","0.98%"
"08/16/2019","4,804.19","4,735.35","4,806.07","4,713.16","162.20M","1.82%"
"08/15/2019","4,718.29","4,757.19","4,760.59","4,699.20","66.94M","-0.68%"
"08/14/2019","4,750.68","4,832.21","4,832.66","4,737.82","87.93M","-1.55%"
"08/13/2019","4,825.63","4,777.07","4,844.32","4,760.90","109.00M","0.61%"
"08/12/2019","4,796.20","4,880.85","4,897.93","4,796.20","82.22M","-1.29%"
"08/09/2019","4,859.04","4,928.03","4,928.13","4,859.04","88.80M","-1.38%"
"08/08/2019","4,927.22","4,888.08","4,930.77","4,865.48","68.64M","1.80%"
"08/07/2019","4,839.94","4,859.57","4,878.75","4,816.27","82.65M","0.14%"
"08/06/2019","4,833.38","4,858.79","4,885.57","4,833.38","70.68M","-0.37%"
"08/05/2019","4,851.53","4,871.43","4,878.97","4,842.38","64.72M","-1.07%"
"08/02/2019","4,903.80","4,943.12","4,959.76","4,893.44","79.85M","-2.19%"
"08/01/2019","5,013.62","4,997.19","5,018.01","4,986.14","66.08M","0.05%"
"07/31/2019","5,010.90","5,043.72","5,047.56","4,999.30","79.68M","-0.37%"
"07/30/2019","5,029.67","5,101.60","5,126.68","5,029.20","116.62M","-2.05%"
"07/29/2019","5,134.84","5,125.74","5,148.17","5,117.65","61.08M","-0.13%"
"07/26/2019","5,141.38","5,188.89","5,191.94","5,141.38","94.52M","-0.76%"
"07/25/2019","5,180.80","5,200.22","5,220.89","5,157.26","69.94M","-0.43%"
"07/24/2019","5,203.07","5,203.30","5,215.26","5,166.52","74.19M","-0.23%"
"07/23/2019","5,215.03","5,203.55","5,222.42","5,181.81","69.47M","0.65%"
"07/22/2019","5,181.38","5,189.20","5,207.31","5,174.01","68.23M","-0.40%"
"07/19/2019","5,202.23","5,231.79","5,245.52","5,191.98","79.20M","-0.35%"
"07/18/2019","5,220.59","5,226.82","5,235.51","5,217.15","75.38M","-0.60%"
