"mic","symbol","isin","date","open_value","high_value","low_value","last_value","change_prev_close_percentage","turnover"
"XLJU","SBITOP","SI0026109882","2019-10-30",856.69,859.82,853.56,853.56,-0.07,548299.10
"XLJU","SBITOP","SI0026109882","2019-10-29",865.48,865.48,854.19,854.19,-1.30,1050950.80
"XLJU","SBITOP","SI0026109882","2019-10-28",866.46,868.90,865.34,865.48,-0.11,820794.16
"XLJU","SBITOP","SI0026109882","2019-10-25",873.73,874.26,864.68,866.46,-0.83,789973.40
"XLJU","SBITOP","SI0026109882","2019-10-24",873.15,874.21,870.65,873.73,0.07,992600.39
"XLJU","SBITOP","SI0026109882","2019-10-23",871.23,873.15,868.09,873.15,0.22,552434.50
"XLJU","SBITOP","SI0026109882","2019-10-22",873.33,873.33,869.51,871.23,-0.30,1154831.94
"XLJU","SBITOP","SI0026109882","2019-10-21",874.47,875.62,870.50,873.85,-0.15,537457.70
"XLJU","SBITOP","SI0026109882","2019-10-18",870.45,875.33,869.79,875.13,0.44,685347.80
"XLJU","SBITOP","SI0026109882","2019-10-17",871.68,873.22,869.23,871.28,0.05,375802.80
"XLJU","SBITOP","SI0026109882","2019-10-16",871.46,874.67,867.85,870.87,-0.06,938573.90
"XLJU","SBITOP","SI0026109882","2019-10-15",872.73,873.41,868.59,871.40,-0.09,961961.90
"XLJU","SBITOP","SI0026109882","2019-10-14",869.71,873.09,869.71,872.15,0.28,836661.36
"XLJU","SBITOP","SI0026109882","2019-10-11",870.11,870.25,865.79,869.71,-0.05,774789.50
"XLJU","SBITOP","SI0026109882","2019-10-10",865.28,872.77,865.28,870.11,0.56,1112775.10
"XLJU","SBITOP","SI0026109882","2019-10-09",867.40,867.40,862.60,865.28,-0.43,420184.50
"XLJU","SBITOP","SI0026109882","2019-10-08",863.64,868.98,862.11,868.98,0.62,927115.89
"XLJU","SBITOP","SI0026109882","2019-10-07",862.74,865.00,862.06,863.64,0.13,828657.66
"XLJU","SBITOP","SI0026109882","2019-10-04",857.97,864.22,857.97,862.56,0.58,1017014.55
"XLJU","SBITOP","SI0026109882","2019-10-03",860.51,865.46,857.59,857.59,-0.34,927755.35
"XLJU","SBITOP","SI0026109882","2019-10-02",860.18,861.00,857.07,860.51,0.04,890559.80
"XLJU","SBITOP","SI0026109882","2019-10-01",854.80,862.43,853.75,860.18,0.64,838885.35
"XLJU","SBITOP","SI0026109882","2019-09-30",858.36,858.36,854.71,854.71,-0.13,732703.96
"XLJU","SBITOP","SI0026109882","2019-09-27",856.41,859.48,853.37,855.86,-0.06,1198359.95
"XLJU","SBITOP","SI0026109882","2019-09-26",857.86,858.56,852.97,856.41,-0.07,1137429.50
"XLJU","SBITOP","SI0026109882","2019-09-25",858.09,861.24,855.27,857.05,-0.12,652855.50
"XLJU","SBITOP","SI0026109882","2019-09-24",857.14,864.75,856.68,858.09,0.15,776515.60
"XLJU","SBITOP","SI0026109882","2019-09-23",857.31,859.13,853.62,856.77,-0.02,1173114.40
"XLJU","SBITOP","SI0026109882","2019-09-20",861.90,861.90,856.64,856.96,-0.57,1250099.12
"XLJU","SBITOP","SI0026109882","2019-09-19",856.79,861.90,856.79,861.90,0.29,470218.98
"XLJU","SBITOP","SI0026109882","2019-09-18",858.84,861.24,856.40,859.42,0.03,3405817.60
"XLJU","SBITOP","SI0026109882","2019-09-17",858.87,859.16,854.14,859.13,0.03,1440956.00
"XLJU","SBITOP","SI0026109882","2019-09-16",855.82,862.25,855.82,858.87,0.33,1169771.70
"XLJU","SBITOP","SI0026109882","2019-09-13",851.62,856.02,849.70,856.02,0.52,703696.60
"XLJU","SBITOP","SI0026109882","2019-09-12",848.11,851.62,847.14,851.62,0.23,750969.44
"XLJU","SBITOP","SI0026109882","2019-09-11",849.98,849.98,846.20,849.69,-0.10,312237.10
"XLJU","SBITOP","SI0026109882","2019-09-10",848.75,851.60,846.89,850.55,0.36,1046775.00
"XLJU","SBITOP","SI0026109882","2019-09-09",847.66,850.52,845.50,847.54,-0.11,696184.00
"XLJU","SBITOP","SI0026109882","2019-09-06",849.88,850.91,845.62,848.49,-0.13,467180.20
"XLJU","SBITOP","SI0026109882","2019-09-05",851.99,852.60,845.22,849.59,-0.09,495264.10
"XLJU","SBITOP","SI0026109882","2019-09-04",855.39,855.39,847.72,850.33,-0.20,1400787.50
"XLJU","SBITOP","SI0026109882","2019-09-03",850.13,853.74,850.13,852.06,0.20,922984.82
"XLJU","SBITOP","SI0026109882","2019-09-02",855.43,855.43,850.37,850.37,-0.53,569641.50
"XLJU","SBITOP","SI0026109882","2019-08-30",851.45,854.90,849.80,854.90,0.32,884035.50
"XLJU","SBITOP","SI0026109882","2019-08-29",852.11,853.33,848.59,852.20,0.01,578108.42
"XLJU","SBITOP","SI0026109882","2019-08-28",854.15,855.46,848.16,852.11,-0.24,1596445.76
"XLJU","SBITOP","SI0026109882","2019-08-27",857.53,859.53,854.15,854.15,-0.39,617242.90
"XLJU","SBITOP","SI0026109882","2019-08-26",862.38,862.68,857.53,857.53,-0.47,828863.88
"XLJU","SBITOP","SI0026109882","2019-08-23",863.91,865.03,861.35,861.54,-0.35,2171977.42
"XLJU","SBITOP","SI0026109882","2019-08-22",863.13,865.67,862.84,864.56,0.17,1370708.30
"XLJU","SBITOP","SI0026109882","2019-08-21",867.03,867.03,862.85,863.13,-0.39,826002.52
"XLJU","SBITOP","SI0026109882","2019-08-20",863.97,866.50,863.14,866.50,0.22,441202.80
"XLJU","SBITOP","SI0026109882","2019-08-19",864.02,865.29,862.96,864.63,0.17,575676.00
"XLJU","SBITOP","SI0026109882","2019-08-16",861.84,863.59,858.88,863.18,0.03,606578.42
"XLJU","SBITOP","SI0026109882","2019-08-14",862.17,864.40,859.68,862.89,0.18,678713.90
"XLJU","SBITOP","SI0026109882","2019-08-13",860.23,861.34,858.03,861.34,0.13,348649.68
"XLJU","SBITOP","SI0026109882","2019-08-12",857.01,860.89,855.79,860.23,0.38,254512.38
"XLJU","SBITOP","SI0026109882","2019-08-09",859.44,859.89,853.83,857.01,-0.28,759146.14
"XLJU","SBITOP","SI0026109882","2019-08-08",860.76,860.76,855.92,859.44,-0.28,416024.06
"XLJU","SBITOP","SI0026109882","2019-08-07",868.21,868.21,857.59,861.81,-0.74,1210852.94
"XLJU","SBITOP","SI0026109882","2019-08-06",866.35,868.52,863.94,868.21,0.17,662242.36
"XLJU","SBITOP","SI0026109882","2019-08-05",870.99,870.99,864.03,866.73,-0.49,918971.86
"XLJU","SBITOP","SI0026109882","2019-08-02",871.52,874.12,870.42,870.99,-0.06,766599.90
"XLJU","SBITOP","SI0026109882","2019-08-01",870.59,872.33,868.39,871.52,0.11,2150996.20
"XLJU","SBITOP","SI0026109882","2019-07-31",875.80,875.80,870.59,870.59,-0.56,1203407.90
"XLJU","SBITOP","SI0026109882","2019-07-30",874.83,875.71,872.65,875.51,0.14,952848.40
"XLJU","SBITOP","SI0026109882","2019-07-29",873.95,874.62,870.90,874.30,0.06,651419.70
"XLJU","SBITOP","SI0026109882","2019-07-26",868.56,873.76,867.07,873.76,0.50,671984.10
"XLJU","SBITOP","SI0026109882","2019-07-25",870.76,871.09,867.35,869.43,-0.15,1372302.56
"XLJU","SBITOP","SI0026109882","2019-07-24",869.81,872.43,867.91,870.76,0.26,1318851.80
"XLJU","SBITOP","SI0026109882","2019-07-23",872.59,875.16,868.50,868.50,-0.18,688190.28
"XLJU","SBITOP","SI0026109882","2019-07-22",870.65,876.29,869.98,870.09,-0.35,566299.70
"XLJU","SBITOP","SI0026109882","2019-07-19",869.20,873.15,868.20,873.15,0.45,760682.40
"XLJU","SBITOP","SI0026109882","2019-07-18",866.10,869.20,865.44,869.20,0.24,457521.50
"XLJU","SBITOP","SI0026109882","2019-07-17",869.77,870.10,867.11,867.11,-0.21,993955.50
"XLJU","SBITOP","SI0026109882","2019-07-16",883.42,883.42,867.93,868.94,-1.64,687955.74
"XLJU","SBITOP","SI0026109882","2019-07-15",887.94,889.45,883.42,883.42,-0.51,607491.32
"XLJU","SBITOP","SI0026109882","2019-07-12",888.51,891.07,887.69,887.94,-0.04,506617.40
"XLJU","SBITOP","SI0026109882","2019-07-11",888.36,890.52,887.91,888.32,0.06,1182008.60
"XLJU","SBITOP","SI0026109882","2019-07-10",890.49,890.49,884.18,887.83,-0.30,675513.24
"XLJU","SBITOP","SI0026109882","2019-07-09",889.50,890.49,884.10,890.49,0.18,277394.40
"XLJU","SBITOP","SI0026109882","2019-07-08",888.54,891.35,884.83,888.93,-0.14,545762.80
"XLJU","SBITOP","SI0026109882","2019-07-05",888.37,894.94,888.37,890.20,-0.03,1295731.10
"XLJU","SBITOP","SI0026109882","2019-07-04",878.25,890.47,873.93,890.47,1.09,1187074.80
"XLJU","SBITOP","SI0026109882","2019-07-03",880.62,883.47,875.22,880.89,0.32,740325.90
"XLJU","SBITOP","SI0026109882","2019-07-02",878.71,879.54,873.94,878.12,-0.25,976642.30
"XLJU","SBITOP","SI0026109882","2019-07-01",882.65,882.65,878.64,880.32,-0.14,1357761.40
"XLJU","SBITOP","SI0026109882","2019-06-28",883.66,884.01,878.35,881.59,-0.20,448701.64
"XLJU","SBITOP","SI0026109882","2019-06-27",887.83,887.83,881.67,883.34,-0.51,846028.50
"XLJU","SBITOP","SI0026109882","2019-06-26",889.40,889.65,885.18,887.83,-0.27,752247.90
"XLJU","SBITOP","SI0026109882","2019-06-24",891.23,891.71,886.27,890.23,-0.11,759209.20
"XLJU","SBITOP","SI0026109882","2019-06-21",891.02,891.23,887.18,891.23,0.22,853176.50
"XLJU","SBITOP","SI0026109882","2019-06-20",884.04,891.12,882.53,889.23,0.66,2475405.20
"XLJU","SBITOP","SI0026109882","2019-06-19",874.09,884.26,874.09,883.36,1.08,1153527.04
"XLJU","SBITOP","SI0026109882","2019-06-18",873.33,876.06,870.14,873.95,0.07,893482.70
"XLJU","SBITOP","SI0026109882","2019-06-17",870.64,875.05,870.64,873.33,0.18,977731.00
"XLJU","SBITOP","SI0026109882","2019-06-14",870.12,872.13,866.34,871.72,0.18,872886.10
"XLJU","SBITOP","SI0026109882","2019-06-13",870.54,873.47,868.56,870.12,-0.05,1973658.58
"XLJU","SBITOP","SI0026109882","2019-06-12",872.28,872.57,868.21,870.54,-0.20,2436324.32
"XLJU","SBITOP","SI0026109882","2019-06-11",879.66,879.66,866.60,872.28,-0.84,2076418.70
"XLJU","SBITOP","SI0026109882","2019-06-10",885.80,885.80,875.84,879.66,-0.69,1627630.02
"XLJU","SBITOP","SI0026109882","2019-06-07",882.04,885.80,878.21,885.80,0.43,1432890.60
"XLJU","SBITOP","SI0026109882","2019-06-06",879.06,882.04,875.64,882.04,0.08,891827.80
"XLJU","SBITOP","SI0026109882","2019-06-05",883.71,883.71,879.72,881.34,-0.23,877598.30
