Date, Open, High, Low, Close
01/08/21, 822.47, 826.60, 812.81, 819.27
01/07/21, 816.47, 827.19, 816.47, 820.03
01/05/21, 815.03, 817.70, 807.02, 813.62
01/04/21, 814.59, 824.33, 812.11, 822.22
12/31/20, 807.29, 813.51, 804.55, 808.99
12/30/20, 810.98, 812.70, 803.11, 809.08
12/29/20, 814.49, 818.02, 807.56, 809.22
12/28/20, 793.91, 811.08, 793.91, 810.44
12/23/20, 785.07, 789.32, 780.30, 787.48
12/22/20, 774.20, 787.04, 774.20, 780.21
12/21/20, 793.88, 793.88, 749.59, 769.62
12/18/20, 791.91, 801.13, 790.11, 800.06
12/17/20, 796.35, 798.39, 786.96, 790.77
12/16/20, 791.85, 802.70, 790.66, 792.31
12/15/20, 787.82, 791.84, 781.41, 787.32
12/14/20, 783.77, 802.27, 783.77, 788.02
12/11/20, 771.50, 785.25, 759.18, 779.04
12/10/20, 793.51, 793.75, 771.13, 774.32
12/09/20, 798.28, 804.58, 796.01, 796.01
12/08/20, 787.81, 791.17, 782.12, 791.17
12/07/20, 784.39, 794.64, 780.41, 786.85
12/04/20, 768.03, 789.42, 764.98, 784.95
12/03/20, 758.61, 766.84, 752.81, 766.82
12/02/20, 758.76, 768.66, 756.25, 759.47
12/01/20, 741.87, 761.61, 741.65, 758.22
11/30/20, 735.56, 740.45, 730.59, 736.92
11/27/20, 729.29, 737.45, 726.43, 736.60
11/26/20, 707.49, 726.96, 702.48, 726.92
11/25/20, 706.50, 709.44, 698.67, 705.21
11/24/20, 704.86, 707.54, 698.12, 702.85
11/23/20, 702.57, 708.88, 697.44, 700.43
11/20/20, 700.33, 705.22, 697.71, 699.45
11/19/20, 703.60, 703.60, 694.58, 699.20
11/18/20, 691.74, 708.31, 690.53, 708.16
11/17/20, 692.18, 700.99, 687.55, 690.99
11/16/20, 659.17, 695.65, 659.17, 691.36
11/13/20, 655.02, 660.01, 653.04, 655.68
11/12/20, 655.15, 665.82, 653.07, 657.01
11/11/20, 651.31, 662.09, 650.43, 658.42
11/10/20, 655.32, 663.43, 647.92, 651.77
11/09/20, 592.97, 657.88, 592.97, 655.50
11/06/20, 589.99, 590.00, 583.55, 588.10
11/05/20, 583.56, 590.16, 576.11, 590.16
11/04/20, 583.02, 590.20, 581.22, 588.24
11/03/20, 577.16, 585.52, 577.16, 584.48
11/02/20, 569.29, 581.26, 567.14, 572.88
10/30/20, 564.13, 571.89, 550.11, 569.50
10/29/20, 591.48, 591.48, 557.72, 564.93
10/27/20, 597.05, 599.16, 592.09, 595.16
10/26/20, 608.69, 609.37, 591.62, 595.97
10/23/20, 610.19, 614.66, 608.32, 612.32
10/22/20, 617.71, 617.92, 607.75, 608.90
10/21/20, 623.76, 624.56, 619.29, 619.98
10/20/20, 618.57, 624.48, 615.08, 623.27
10/19/20, 620.38, 621.01, 615.31, 618.13
10/16/20, 618.68, 624.29, 618.68, 620.18
10/15/20, 627.54, 627.54, 617.13, 619.26
10/14/20, 637.00, 639.77, 630.25, 632.81
10/13/20, 635.67, 640.83, 633.70, 636.32
10/12/20, 647.45, 647.45, 636.19, 637.39
10/09/20, 648.56, 652.92, 647.03, 651.47
10/08/20, 644.21, 652.03, 643.22, 648.56
10/07/20, 646.71, 647.38, 639.95, 641.99
10/06/20, 634.22, 644.54, 633.51, 644.35
10/05/20, 628.70, 634.06, 627.33, 633.43
10/02/20, 629.21, 629.76, 622.90, 625.67
10/01/20, 628.56, 634.72, 628.39, 631.51
09/30/20, 621.65, 627.30, 618.50, 624.75
09/29/20, 625.36, 625.84, 621.24, 623.36
09/28/20, 623.35, 631.43, 623.35, 625.20
09/25/20, 621.57, 627.18, 615.33, 617.90
09/24/20, 618.30, 622.18, 614.62, 619.96
09/23/20, 627.48, 631.70, 619.22, 622.34
09/22/20, 631.59, 635.87, 624.60, 624.62
09/21/20, 653.89, 653.89, 630.32, 630.32
09/18/20, 661.61, 664.22, 654.36, 658.54
09/17/20, 657.80, 664.49, 655.68, 663.25
09/16/20, 663.26, 667.32, 660.23, 661.19
09/15/20, 659.93, 667.03, 657.73, 663.61
09/14/20, 641.09, 661.66, 640.84, 661.13
09/11/20, 639.35, 640.51, 635.86, 636.03
09/10/20, 632.90, 638.09, 630.61, 637.95
09/09/20, 626.70, 632.01, 625.59, 631.74
09/08/20, 640.54, 640.88, 623.52, 627.56
09/07/20, 641.06, 644.76, 639.43, 641.33
09/04/20, 643.10, 644.72, 638.57, 639.29
09/03/20, 645.62, 648.25, 643.42, 646.08
09/02/20, 642.17, 646.37, 641.02, 644.20
09/01/20, 636.63, 639.73, 636.03, 639.60
08/31/20, 635.22, 641.60, 633.96, 633.98
08/28/20, 631.82, 636.16, 629.69, 634.47
08/27/20, 634.45, 637.64, 631.40, 633.09
08/26/20, 628.50, 638.02, 627.03, 635.84
08/25/20, 634.74, 636.76, 625.11, 629.34
08/24/20, 636.65, 638.90, 630.83, 632.56
08/21/20, 637.81, 640.94, 629.68, 633.27
08/20/20, 644.29, 644.29, 635.02, 636.92
08/19/20, 643.83, 648.38, 642.23, 646.27
08/18/20, 636.57, 644.06, 635.85, 643.98
08/17/20, 633.83, 638.71, 632.59, 637.12
08/14/20, 636.45, 636.45, 630.32, 634.37
08/13/20, 635.06, 637.27, 631.14, 637.27
