"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2021","1,290.00","1,297.10","1,297.10","1,284.73","","-0.53%"
"09/23/2021","1,296.81","1,287.71","1,296.81","1,287.04","","0.64%"
"09/22/2021","1,288.62","1,294.02","1,294.72","1,286.87","","-0.34%"
"09/21/2021","1,292.96","1,288.67","1,295.32","1,287.75","","0.33%"
"09/20/2021","1,288.67","1,295.58","1,301.96","1,287.97","","-0.53%"
"09/17/2021","1,295.58","1,298.88","1,301.68","1,292.57","","-0.01%"
"09/16/2021","1,295.66","1,291.03","1,298.66","1,290.77","","-0.07%"
"09/15/2021","1,296.57","1,293.09","1,296.61","1,285.50","","0.24%"
"09/14/2021","1,293.44","1,301.16","1,301.16","1,281.38","","-0.59%"
"09/13/2021","1,301.13","1,297.33","1,301.13","1,285.90","","0.37%"
"09/10/2021","1,296.27","1,291.89","1,297.72","1,287.18","","0.78%"
"09/09/2021","1,286.23","1,301.86","1,301.86","1,279.47","","-1.20%"
"09/08/2021","1,301.83","1,292.85","1,301.83","1,289.36","","0.66%"
"09/07/2021","1,293.23","1,296.43","1,297.44","1,290.72","","-0.38%"
"09/06/2021","1,298.12","1,294.41","1,306.49","1,293.35","","-0.05%"
"09/03/2021","1,298.73","1,291.17","1,304.74","1,277.97","","1.07%"
"09/02/2021","1,284.94","1,288.49","1,290.39","1,283.68","","-0.16%"
"09/01/2021","1,287.03","1,288.47","1,289.80","1,279.98","","-0.09%"
"08/31/2021","1,288.24","1,279.98","1,288.50","1,275.50","","0.65%"
"08/30/2021","1,279.98","1,281.19","1,288.22","1,275.16","","-0.06%"
"08/27/2021","1,280.80","1,274.55","1,280.80","1,267.81","","0.44%"
"08/26/2021","1,275.22","1,273.49","1,284.09","1,268.22","","0.19%"
"08/25/2021","1,272.82","1,266.62","1,277.05","1,257.81","","0.68%"
"08/24/2021","1,264.21","1,271.50","1,271.54","1,262.92","","-0.51%"
"08/23/2021","1,270.69","1,267.67","1,279.70","1,266.63","","-0.35%"
"08/20/2021","1,275.19","1,273.66","1,276.13","1,265.42","","0.17%"
"08/19/2021","1,273.00","1,266.16","1,289.40","1,265.81","","0.51%"
"08/18/2021","1,266.51","1,262.15","1,267.17","1,259.68","","-0.40%"
"08/17/2021","1,271.54","1,274.54","1,276.95","1,264.56","","-0.23%"
"08/16/2021","1,274.52","1,262.74","1,275.54","1,256.74","","0.73%"
"08/13/2021","1,265.27","1,276.88","1,277.23","1,263.86","","-0.86%"
